Landcat,Area_2010_m2,Area_2011_m2,Area_2012_m2,Area_2013_m2,Area_2014_m2,Area_2015_m2,Area_2016_m2,Area_2017_m2,Area_2018_m2,Area_2019_m2,Area_2020_m2,Area_2021_m2,Area_2022_m2,Area_2023_m2,Area_2024_m2,Area_2025_m2,Area_2026_m2,Area_2027_m2,Area_2028_m2,Area_2029_m2,Area_2030_m2,Area_2031_m2,Area_2032_m2,Area_2033_m2,Area_2034_m2,Area_2035_m2,Area_2036_m2,Area_2037_m2,Area_2038_m2,Area_2039_m2,Area_2040_m2,Area_2041_m2,Area_2042_m2,Area_2043_m2,Area_2044_m2,Area_2045_m2,Area_2046_m2,Area_2047_m2,Area_2048_m2,Area_2049_m2,Area_2050_m2
105006,19136.84571,0,0,0,7087.720634,-590.6433862,0,-44652.64,-30831.58476,0,0,-25988.30899,-1535.672804,0,-5788.305185,42053.8091,-42762.58116,0,-14884.21333,20790.64719,0,0,0,42526.32381,-472.514709,0,-11340.35301,-354.3860317,56938.02243,0,-97574.2874,0,0,-472.5147089,1063.158095,-472.5147089,-8269.007407,-9922.808888,0,0,-7560.235343
105007,2855176.065,2098792.907,2468466.658,299117.7391,71123.86678,-1305783.087,-3252532.758,-1242325.266,-1703281.744,-932134.3498,-3194895.453,-5118646.987,-1193063.825,-780375.0413,-2967895.327,-2208672.893,677025.3906,-3641939.478,-4140090.473,-4544971.247,-5122338.046,-3177008.013,-3352759.205,-3584302.173,-6877294.615,-6589959.872,-3160256.284,-1618671.315,-6904835.594,-5330173.058,-4191765.298,-7237882.682,-7243277.307,-3964765.172,-1943768.431,583613.2062,-5900583.63,-3534756.804,-4367090.598,-3799519.302,-6166055.947
105008,0,0,0,0,-9458.659689,0,2955.831153,-105818.7553,-10759.2254,43982.76755,14424.45603,121662.0103,0,-11350.39163,-4256.39686,-80043.90762,70348.78144,-5320.496075,-159733.1155,-52613.79452,-178532.2016,-8512.79372,-118587.9459,-64673.58562,114331.549,19272.01912,-6266.362044,-78388.64217,-60180.72227,48357.39766,-59471.3228,0,-15725.02173,-118587.9459,-196858.3548,46938.59871,-35115.2741,-43391.60132,0,0,93404.26443
105009,20783.26296,0,0,0,2049.054095,0,0,0,0,0,6147.162285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34248.47559,0,0,45664.63412,0,0,0,0,0,54153.57251,0
106001,70861.6124,0,0,-32705.35957,0,-40609.1548,0,0,0,0,26981.92165,76585.05033,0,32705.35957,0,0,0,0,0,-100023.8914,208769.2119,-61050.00453,-54236.38795,18260.49243,-78220.31831,63502.9065,-188600.9069,21803.57305,168160.0571,0,-11174.33119,-165162.0658,0,0,-21803.57305,-156168.092,100023.8914,-167887.5125,-53418.75397,-78765.40763,-43334.60143
106002,0,0,0,-119486.8479,0,-323861.6585,0,0,-234145.9444,67588.52003,-30173.44644,0,0,286044.2723,-43852.07549,0,0,-398691.8056,0,-457027.1354,-62760.7686,-158108.8593,-1609.250477,0,-267940.2044,-27357.25811,-707667.8972,0,-305355.278,-7643.939765,-17701.75524,0,-26150.32025,-82876.39956,-6034.689288,-252250.0122,0,241789.8841,0,1206.937858,-46668.26383
106003,-10664.6494,20176.36373,-61105.55873,-86470.13027,-864.7013027,-131434.598,-18446.96112,-251051.6116,-306968.9625,6917.610422,-286504.365,19888.12996,-366921.5861,-29976.31183,-118175.8447,-590302.756,-70329.03929,12394.05201,-281604.3909,-266616.235,-470109.2749,245575.17,-227128.2088,-29688.07806,-306968.9625,-327721.7937,-246151.6375,-336945.2743,33146.88327,-315615.9755,-164581.4813,-287369.0663,-473279.8464,-960971.3811,-327433.56,50729.14309,-641896.6004,-721737.354,-469532.8074,-8070.545492,-237216.3907
106004,-210913.0569,-122197.5996,-32260.16629,129529.4556,-483169.3088,-752248.4231,-86271.50532,-255881.7736,-716811.1192,-75762.51175,-875912.3939,-869069.3283,-212868.2185,-706546.5209,-71363.39816,5865.484781,-551355.5694,-664266.1514,-163255.9931,-588992.4301,-561131.3773,-373924.6548,-67697.47018,-224354.7929,-323334.8485,-253193.4264,-301339.2806,-313559.0406,-468749.9921,-249771.8936,-352662.2724,-333599.4469,-637138.2843,-78695.25414,-181830.0282,-87493.48131,-147370.3051,-213601.4041,-250016.2888,-372702.6788,-741983.8248
106005,0,0,0,0,0,-42854.63122,0,0,0,-102360.3462,-2629.11848,-23924.97817,0,0,0,-42854.63122,0,-28832.666,0,0,-66954.88395,0,0,-87111.45897,0,-52407.09503,-82641.95755,0,0,-24100.25273,0,-17089.27012,-89740.57745,-52407.09503,0,0,0,0,0,0,0
106006,59292.88056,0,0,0,21960.32613,-1830.027178,0,-138350.0546,-95527.41868,0,0,-80521.19582,-4758.070662,0,-17934.26634,130297.9351,-132493.9677,0,-46116.68488,64416.95666,0,0,0,131761.9568,-1464.021742,0,-35136.52181,-1098.016307,176414.6199,0,-302320.4898,0,0,-1464.021742,3294.04892,-1464.021742,-25620.38049,-30744.45659,0,0,-23424.34788
