Land_Cat_ID,Region_ID,Region,Land_Type_ID,Land_Type,Ownership_ID,Ownership,Area_sqm
205007,2,Central_Valley,50,Shrubland,7,Private,3173249700
205008,2,Central_Valley,50,Shrubland,8,State_gov,85824000
206001,2,Central_Valley,60,Grassland,1,BLM,101960100
206002,2,Central_Valley,60,Grassland,2,DoD,34152300
206003,2,Central_Valley,60,Grassland,3,Easement,503289900
206004,2,Central_Valley,60,Grassland,4,Local_gov,26593200
206006,2,Central_Valley,60,Grassland,6,Other_fed,132693300
206007,2,Central_Valley,60,Grassland,7,Private,2934767700
206008,2,Central_Valley,60,Grassland,8,State_gov,86316300
207001,2,Central_Valley,70,Savanna,1,BLM,1956600
207002,2,Central_Valley,70,Savanna,2,DoD,1134900
207003,2,Central_Valley,70,Savanna,3,Easement,55190700
207004,2,Central_Valley,70,Savanna,4,Local_gov,13241700
207006,2,Central_Valley,70,Savanna,6,Other_fed,12425400
207007,2,Central_Valley,70,Savanna,7,Private,504727200
207008,2,Central_Valley,70,Savanna,8,State_gov,18476100
208001,2,Central_Valley,80,Woodland,1,BLM,343800
208002,2,Central_Valley,80,Woodland,2,DoD,2921400
208003,2,Central_Valley,80,Woodland,3,Easement,40297500
208004,2,Central_Valley,80,Woodland,4,Local_gov,7725600
208006,2,Central_Valley,80,Woodland,6,Other_fed,8694000
208007,2,Central_Valley,80,Woodland,7,Private,257302800
208008,2,Central_Valley,80,Woodland,8,State_gov,10158300
209001,2,Central_Valley,90,Forest,1,BLM,1800
209002,2,Central_Valley,90,Forest,2,DoD,16200
209003,2,Central_Valley,90,Forest,3,Easement,135763200
209004,2,Central_Valley,90,Forest,4,Local_gov,5400
209006,2,Central_Valley,90,Forest,6,Other_fed,146700
209007,2,Central_Valley,90,Forest,7,Private,4404600
209008,2,Central_Valley,90,Forest,8,State_gov,124200
210001,2,Central_Valley,100,Meadow,1,BLM,900
210007,2,Central_Valley,100,Meadow,7,Private,153900
210008,2,Central_Valley,100,Meadow,8,State_gov,900
211001,2,Central_Valley,110,Coastal_marsh,1,BLM,207000
211002,2,Central_Valley,110,Coastal_marsh,2,DoD,6300
211003,2,Central_Valley,110,Coastal_marsh,3,Easement,2281500
211004,2,Central_Valley,110,Coastal_marsh,4,Local_gov,101700
211006,2,Central_Valley,110,Coastal_marsh,6,Other_fed,503100
211007,2,Central_Valley,110,Coastal_marsh,7,Private,3723300
211008,2,Central_Valley,110,Coastal_marsh,8,State_gov,429300
213001,2,Central_Valley,130,Cultivated,1,BLM,28186200
213002,2,Central_Valley,130,Cultivated,2,DoD,85336200
213003,2,Central_Valley,130,Cultivated,3,Easement,498605400
213004,2,Central_Valley,130,Cultivated,4,Local_gov,79597800
213006,2,Central_Valley,130,Cultivated,6,Other_fed,194169600
213007,2,Central_Valley,130,Cultivated,7,Private,28719801000
213008,2,Central_Valley,130,Cultivated,8,State_gov,236230200
216001,2,Central_Valley,160,Developed_all,1,BLM,19057500
216002,2,Central_Valley,160,Developed_all,2,DoD,34054200
216003,2,Central_Valley,160,Developed_all,3,Easement,56727000
216004,2,Central_Valley,160,Developed_all,4,Local_gov,86513400
216006,2,Central_Valley,160,Developed_all,6,Other_fed,28386000
216007,2,Central_Valley,160,Developed_all,7,Private,5061054600
216008,2,Central_Valley,160,Developed_all,8,State_gov,26657100
300001,3,Delta,0,Water,1,BLM,234000
300002,3,Delta,0,Water,2,DoD,8801100
300003,3,Delta,0,Water,3,Easement,3156300
300004,3,Delta,0,Water,4,Local_gov,6278400
300006,3,Delta,0,Water,6,Other_fed,1381500
300007,3,Delta,0,Water,7,Private,344059200
300008,3,Delta,0,Water,8,State_gov,61489800
302002,3,Delta,20,Barren,2,DoD,292500
302003,3,Delta,20,Barren,3,Easement,17100
302004,3,Delta,20,Barren,4,Local_gov,16200
302006,3,Delta,20,Barren,6,Other_fed,3600
302007,3,Delta,20,Barren,7,Private,2456100
302008,3,Delta,20,Barren,8,State_gov,140400
303002,3,Delta,30,Sparse,2,DoD,900
303003,3,Delta,30,Sparse,3,Easement,9900
303004,3,Delta,30,Sparse,4,Local_gov,23400
303006,3,Delta,30,Sparse,6,Other_fed,11700
303007,3,Delta,30,Sparse,7,Private,739800
303008,3,Delta,30,Sparse,8,State_gov,64800
304002,3,Delta,40,Desert,2,DoD,4500
304003,3,Delta,40,Desert,3,Easement,99900
304004,3,Delta,40,Desert,4,Local_gov,4500
304007,3,Delta,40,Desert,7,Private,579600
304008,3,Delta,40,Desert,8,State_gov,154800
305001,3,Delta,50,Shrubland,1,BLM,79200
305002,3,Delta,50,Shrubland,2,DoD,366300
305003,3,Delta,50,Shrubland,3,Easement,1624500
305004,3,Delta,50,Shrubland,4,Local_gov,95400
305006,3,Delta,50,Shrubland,6,Other_fed,130500
305007,3,Delta,50,Shrubland,7,Private,21880800
305008,3,Delta,50,Shrubland,8,State_gov,6085800
306001,3,Delta,60,Grassland,1,BLM,781200
306002,3,Delta,60,Grassland,2,DoD,3346200
306003,3,Delta,60,Grassland,3,Easement,19694700
306004,3,Delta,60,Grassland,4,Local_gov,704700
306006,3,Delta,60,Grassland,6,Other_fed,686700
306007,3,Delta,60,Grassland,7,Private,85017600
306008,3,Delta,60,Grassland,8,State_gov,22066200
307001,3,Delta,70,Savanna,1,BLM,23400
307002,3,Delta,70,Savanna,2,DoD,65700
307003,3,Delta,70,Savanna,3,Easement,291600
307004,3,Delta,70,Savanna,4,Local_gov,7200
307006,3,Delta,70,Savanna,6,Other_fed,23400
307007,3,Delta,70,Savanna,7,Private,3956400
307008,3,Delta,70,Savanna,8,State_gov,808200
308001,3,Delta,80,Woodland,1,BLM,28800
308002,3,Delta,80,Woodland,2,DoD,17100
308003,3,Delta,80,Woodland,3,Easement,845100
308004,3,Delta,80,Woodland,4,Local_gov,30600
308006,3,Delta,80,Woodland,6,Other_fed,105300
308007,3,Delta,80,Woodland,7,Private,1356300
308008,3,Delta,80,Woodland,8,State_gov,852300
309003,3,Delta,90,Forest,3,Easement,3305700
309004,3,Delta,90,Forest,4,Local_gov,900
309007,3,Delta,90,Forest,7,Private,1176300
309008,3,Delta,90,Forest,8,State_gov,1800
310002,3,Delta,100,Meadow,2,DoD,1121400
310003,3,Delta,100,Meadow,3,Easement,49500
310004,3,Delta,100,Meadow,4,Local_gov,77400
310007,3,Delta,100,Meadow,7,Private,5309100
310008,3,Delta,100,Meadow,8,State_gov,790200
311001,3,Delta,110,Coastal_marsh,1,BLM,153000
311002,3,Delta,110,Coastal_marsh,2,DoD,7416000
311003,3,Delta,110,Coastal_marsh,3,Easement,2081700
311004,3,Delta,110,Coastal_marsh,4,Local_gov,94500
311006,3,Delta,110,Coastal_marsh,6,Other_fed,85500
311007,3,Delta,110,Coastal_marsh,7,Private,108925200
311008,3,Delta,110,Coastal_marsh,8,State_gov,39036600
312001,3,Delta,120,Fresh_marsh,1,BLM,0
312002,3,Delta,120,Fresh_marsh,2,DoD,0
312003,3,Delta,120,Fresh_marsh,3,Easement,0
312004,3,Delta,120,Fresh_marsh,4,Local_gov,0
312006,3,Delta,120,Fresh_marsh,6,Other_fed,0
312007,3,Delta,120,Fresh_marsh,7,Private,0
312008,3,Delta,120,Fresh_marsh,8,State_gov,0
313001,3,Delta,130,Cultivated,1,BLM,4561200
313002,3,Delta,130,Cultivated,2,DoD,4095900
313003,3,Delta,130,Cultivated,3,Easement,102665700
313004,3,Delta,130,Cultivated,4,Local_gov,6057900
313006,3,Delta,130,Cultivated,6,Other_fed,6379200
313007,3,Delta,130,Cultivated,7,Private,1974507300
313008,3,Delta,130,Cultivated,8,State_gov,91023300
316001,3,Delta,160,Developed_all,1,BLM,269100
316002,3,Delta,160,Developed_all,2,DoD,3372300
316003,3,Delta,160,Developed_all,3,Easement,2458800
316004,3,Delta,160,Developed_all,4,Local_gov,8203500
316006,3,Delta,160,Developed_all,6,Other_fed,807300
316007,3,Delta,160,Developed_all,7,Private,408968100
316008,3,Delta,160,Developed_all,8,State_gov,5404500
400001,4,Deserts,0,Water,1,BLM,51867900
400002,4,Deserts,0,Water,2,DoD,3168900
400003,4,Deserts,0,Water,3,Easement,37800
400004,4,Deserts,0,Water,4,Local_gov,405507600
400005,4,Deserts,0,Water,5,NPS,269100
400006,4,Deserts,0,Water,6,Other_fed,155741400
400007,4,Deserts,0,Water,7,Private,482627700
400008,4,Deserts,0,Water,8,State_gov,25632900
400009,4,Deserts,0,Water,9,USFS_nonwild,289800
402001,4,Deserts,20,Barren,1,BLM,6047235900
402002,4,Deserts,20,Barren,2,DoD,1760511600
402003,4,Deserts,20,Barren,3,Easement,28258200
402004,4,Deserts,20,Barren,4,Local_gov,230227200
402005,4,Deserts,20,Barren,5,NPS,1294488900
402006,4,Deserts,20,Barren,6,Other_fed,32071500
402007,4,Deserts,20,Barren,7,Private,2455750800
402008,4,Deserts,20,Barren,8,State_gov,1070851500
402009,4,Deserts,20,Barren,9,USFS_nonwild,1271700
403001,4,Deserts,30,Sparse,1,BLM,6410827800
403002,4,Deserts,30,Sparse,2,DoD,2105478900
403003,4,Deserts,30,Sparse,3,Easement,15390900
403004,4,Deserts,30,Sparse,4,Local_gov,207963900
403005,4,Deserts,30,Sparse,5,NPS,3447863100
403006,4,Deserts,30,Sparse,6,Other_fed,139702500
403007,4,Deserts,30,Sparse,7,Private,1825386300
403008,4,Deserts,30,Sparse,8,State_gov,278009100
403009,4,Deserts,30,Sparse,9,USFS_nonwild,43802100
404001,4,Deserts,40,Desert,1,BLM,28739245500
404002,4,Deserts,40,Desert,2,DoD,8947436400
404003,4,Deserts,40,Desert,3,Easement,39132000
404004,4,Deserts,40,Desert,4,Local_gov,407268900
404005,4,Deserts,40,Desert,5,NPS,15951263400
404006,4,Deserts,40,Desert,6,Other_fed,478559700
404007,4,Deserts,40,Desert,7,Private,8746478100
404008,4,Deserts,40,Desert,8,State_gov,1406408400
404009,4,Deserts,40,Desert,9,USFS_nonwild,148042800
405001,4,Deserts,50,Shrubland,1,BLM,318514500
405002,4,Deserts,50,Shrubland,2,DoD,25472700
405003,4,Deserts,50,Shrubland,3,Easement,21878100
405004,4,Deserts,50,Shrubland,4,Local_gov,13617000
405005,4,Deserts,50,Shrubland,5,NPS,371507400
405006,4,Deserts,50,Shrubland,6,Other_fed,78991200
405007,4,Deserts,50,Shrubland,7,Private,363217500
405008,4,Deserts,50,Shrubland,8,State_gov,13844700
405009,4,Deserts,50,Shrubland,9,USFS_nonwild,324531900
406001,4,Deserts,60,Grassland,1,BLM,149562000
406002,4,Deserts,60,Grassland,2,DoD,102398400
406003,4,Deserts,60,Grassland,3,Easement,41355900
406004,4,Deserts,60,Grassland,4,Local_gov,27040500
406005,4,Deserts,60,Grassland,5,NPS,288288000
406006,4,Deserts,60,Grassland,6,Other_fed,3675600
406007,4,Deserts,60,Grassland,7,Private,384152400
406008,4,Deserts,60,Grassland,8,State_gov,28964700
406009,4,Deserts,60,Grassland,9,USFS_nonwild,72054900
407001,4,Deserts,70,Savanna,1,BLM,226800
407002,4,Deserts,70,Savanna,2,DoD,5400
407003,4,Deserts,70,Savanna,3,Easement,565200
407004,4,Deserts,70,Savanna,4,Local_gov,2700
407006,4,Deserts,70,Savanna,6,Other_fed,15300
407007,4,Deserts,70,Savanna,7,Private,5242500
407009,4,Deserts,70,Savanna,9,USFS_nonwild,2352600
408001,4,Deserts,80,Woodland,1,BLM,137643300
408002,4,Deserts,80,Woodland,2,DoD,87822000
408003,4,Deserts,80,Woodland,3,Easement,1159200
408004,4,Deserts,80,Woodland,4,Local_gov,729000
408005,4,Deserts,80,Woodland,5,NPS,374709600
408006,4,Deserts,80,Woodland,6,Other_fed,128427300
408007,4,Deserts,80,Woodland,7,Private,23971500
408008,4,Deserts,80,Woodland,8,State_gov,9778500
408009,4,Deserts,80,Woodland,9,USFS_nonwild,126965700
409001,4,Deserts,90,Forest,1,BLM,2156400
409002,4,Deserts,90,Forest,2,DoD,3600
409003,4,Deserts,90,Forest,3,Easement,515700
409004,4,Deserts,90,Forest,4,Local_gov,50400
409005,4,Deserts,90,Forest,5,NPS,2136600
409006,4,Deserts,90,Forest,6,Other_fed,11581200
409007,4,Deserts,90,Forest,7,Private,3319200
409008,4,Deserts,90,Forest,8,State_gov,8100
409009,4,Deserts,90,Forest,9,USFS_nonwild,1906200
410001,4,Deserts,100,Meadow,1,BLM,52220700
410002,4,Deserts,100,Meadow,2,DoD,37722600
410003,4,Deserts,100,Meadow,3,Easement,6300
410004,4,Deserts,100,Meadow,4,Local_gov,9500400
410005,4,Deserts,100,Meadow,5,NPS,4880700
410006,4,Deserts,100,Meadow,6,Other_fed,1515600
410007,4,Deserts,100,Meadow,7,Private,108541800
410008,4,Deserts,100,Meadow,8,State_gov,2879100
410009,4,Deserts,100,Meadow,9,USFS_nonwild,801000
411006,4,Deserts,110,Coastal_marsh,6,Other_fed,900
411007,4,Deserts,110,Coastal_marsh,7,Private,9900
413001,4,Deserts,130,Cultivated,1,BLM,65474100
413002,4,Deserts,130,Cultivated,2,DoD,5449500
413003,4,Deserts,130,Cultivated,3,Easement,81000
413004,4,Deserts,130,Cultivated,4,Local_gov,47580300
413005,4,Deserts,130,Cultivated,5,NPS,13500
413006,4,Deserts,130,Cultivated,6,Other_fed,120948300
413007,4,Deserts,130,Cultivated,7,Private,2842684200
413008,4,Deserts,130,Cultivated,8,State_gov,9594000
416001,4,Deserts,160,Developed_all,1,BLM,227582100
416002,4,Deserts,160,Developed_all,2,DoD,80643600
416003,4,Deserts,160,Developed_all,3,Easement,3474000
416004,4,Deserts,160,Developed_all,4,Local_gov,34101900
416005,4,Deserts,160,Developed_all,5,NPS,52895700
416006,4,Deserts,160,Developed_all,6,Other_fed,31281300
416007,4,Deserts,160,Developed_all,7,Private,1898035200
416008,4,Deserts,160,Developed_all,8,State_gov,20997000
416009,4,Deserts,160,Developed_all,9,USFS_nonwild,8690400
500001,5,Eastside,0,Water,1,BLM,19581300
500002,5,Eastside,0,Water,2,DoD,15027300
500003,5,Eastside,0,Water,3,Easement,1601100
500004,5,Eastside,0,Water,4,Local_gov,20774700
500006,5,Eastside,0,Water,6,Other_fed,156966300
500007,5,Eastside,0,Water,7,Private,683116200
500008,5,Eastside,0,Water,8,State_gov,200339100
500009,5,Eastside,0,Water,9,USFS_nonwild,19801800
501007,5,Eastside,10,Ice,7,Private,900
501009,5,Eastside,10,Ice,9,USFS_nonwild,900
502001,5,Eastside,20,Barren,1,BLM,140331600
502002,5,Eastside,20,Barren,2,DoD,1464300
502003,5,Eastside,20,Barren,3,Easement,1380600
502004,5,Eastside,20,Barren,4,Local_gov,23217300
502005,5,Eastside,20,Barren,5,NPS,14400
502006,5,Eastside,20,Barren,6,Other_fed,61822800
502007,5,Eastside,20,Barren,7,Private,341875800
502008,5,Eastside,20,Barren,8,State_gov,12084300
502009,5,Eastside,20,Barren,9,USFS_nonwild,82336500
503001,5,Eastside,30,Sparse,1,BLM,237578400
503002,5,Eastside,30,Sparse,2,DoD,1494900
503003,5,Eastside,30,Sparse,3,Easement,2546100
503004,5,Eastside,30,Sparse,4,Local_gov,64472400
503005,5,Eastside,30,Sparse,5,NPS,89100
503006,5,Eastside,30,Sparse,6,Other_fed,65795400
503007,5,Eastside,30,Sparse,7,Private,125325000
503008,5,Eastside,30,Sparse,8,State_gov,17996400
503009,5,Eastside,30,Sparse,9,USFS_nonwild,213750900
504001,5,Eastside,40,Desert,1,BLM,547560900
504002,5,Eastside,40,Desert,2,DoD,13851900
504003,5,Eastside,40,Desert,3,Easement,3500100
504004,5,Eastside,40,Desert,4,Local_gov,215148600
504006,5,Eastside,40,Desert,6,Other_fed,79112700
504007,5,Eastside,40,Desert,7,Private,111624300
504008,5,Eastside,40,Desert,8,State_gov,17529300
504009,5,Eastside,40,Desert,9,USFS_nonwild,132790500
505001,5,Eastside,50,Shrubland,1,BLM,4382017200
505002,5,Eastside,50,Shrubland,2,DoD,86979600
505003,5,Eastside,50,Shrubland,3,Easement,63078300
505004,5,Eastside,50,Shrubland,4,Local_gov,115187400
505005,5,Eastside,50,Shrubland,5,NPS,1773900
505006,5,Eastside,50,Shrubland,6,Other_fed,507141000
505007,5,Eastside,50,Shrubland,7,Private,2783858400
505008,5,Eastside,50,Shrubland,8,State_gov,229833900
505009,5,Eastside,50,Shrubland,9,USFS_nonwild,3709935900
506001,5,Eastside,60,Grassland,1,BLM,347580900
506002,5,Eastside,60,Grassland,2,DoD,4188600
506003,5,Eastside,60,Grassland,3,Easement,14730300
506004,5,Eastside,60,Grassland,4,Local_gov,41915700
506005,5,Eastside,60,Grassland,5,NPS,1458000
506006,5,Eastside,60,Grassland,6,Other_fed,35918100
506007,5,Eastside,60,Grassland,7,Private,173961000
506008,5,Eastside,60,Grassland,8,State_gov,33581700
506009,5,Eastside,60,Grassland,9,USFS_nonwild,208083600
507001,5,Eastside,70,Savanna,1,BLM,84013200
507003,5,Eastside,70,Savanna,3,Easement,54800100
507004,5,Eastside,70,Savanna,4,Local_gov,12600
507005,5,Eastside,70,Savanna,5,NPS,1800
507006,5,Eastside,70,Savanna,6,Other_fed,21942000
507007,5,Eastside,70,Savanna,7,Private,445347900
507008,5,Eastside,70,Savanna,8,State_gov,4854600
507009,5,Eastside,70,Savanna,9,USFS_nonwild,877003200
508001,5,Eastside,80,Woodland,1,BLM,1483547400
508002,5,Eastside,80,Woodland,2,DoD,7200
508003,5,Eastside,80,Woodland,3,Easement,41022900
508004,5,Eastside,80,Woodland,4,Local_gov,51370200
508005,5,Eastside,80,Woodland,5,NPS,3600
508006,5,Eastside,80,Woodland,6,Other_fed,510871500
508007,5,Eastside,80,Woodland,7,Private,1087911000
508008,5,Eastside,80,Woodland,8,State_gov,63656100
