"reg_code","Region","lt_code","Land_Type","own_code","Ownership","cnty_code","County","area_ac"
"1","Central_Coast","20","Barren","8","State_gov","40","San Luis Obispo",5502.93803358083
"1","Central_Coast","20","Barren","8","State_gov","41","San Mateo",135.216065487276
"1","Central_Coast","20","Barren","8","State_gov","42","Santa Barbara",21.3499050769382
"1","Central_Coast","20","Barren","8","State_gov","44","Santa Cruz",72.5007193237694
"1","Central_Coast","20","Barren","9","USFS_nonwild","27","Monterey",231.290638333498
"1","Central_Coast","20","Barren","9","USFS_nonwild","40","San Luis Obispo",173.02318906102
"1","Central_Coast","20","Barren","9","USFS_nonwild","42","Santa Barbara",1108.86069493348
"1","Central_Coast","20","Barren","9","USFS_nonwild","56","Ventura",315.13349472939
"1","Central_Coast","30","Sparse","1","BLM","10","Fresno",1353.27262909551
"1","Central_Coast","30","Sparse","1","BLM","15","Kern",215.500604370345
"1","Central_Coast","30","Sparse","1","BLM","16","Kings",104.080787250074
"1","Central_Coast","30","Sparse","1","BLM","24","Merced",23.5738535224526
"1","Central_Coast","30","Sparse","1","BLM","27","Monterey",128.544220150732
"1","Central_Coast","30","Sparse","1","BLM","35","San Benito",1431.33321953307
"1","Central_Coast","30","Sparse","1","BLM","40","San Luis Obispo",2761.25438995068
"1","Central_Coast","30","Sparse","1","BLM","42","Santa Barbara",75.6142471474896
"1","Central_Coast","30","Sparse","1","BLM","50","Stanislaus",13.5660855176378
"1","Central_Coast","30","Sparse","2","DoD","1","Alameda",1.1119742227572
"1","Central_Coast","30","Sparse","2","DoD","27","Monterey",216.612578593103
"1","Central_Coast","30","Sparse","2","DoD","35","San Benito",12.6765061394321
"1","Central_Coast","30","Sparse","2","DoD","39","San Joaquin",10.0077680048148
"1","Central_Coast","30","Sparse","2","DoD","40","San Luis Obispo",75.6142471474896
"1","Central_Coast","30","Sparse","2","DoD","44","Santa Cruz",1.1119742227572
"1","Central_Coast","30","Sparse","2","DoD","48","Solano",2.00155360096296
"1","Central_Coast","30","Sparse","3","Easement","1","Alameda",4.89268658013168
"1","Central_Coast","30","Sparse","3","Easement","7","Contra Costa",2.44634329006584
"1","Central_Coast","30","Sparse","3","Easement","10","Fresno",60.7137925625431
"1","Central_Coast","30","Sparse","3","Easement","24","Merced",2.44634329006584
"1","Central_Coast","30","Sparse","3","Easement","27","Monterey",311.352782372016
"1","Central_Coast","30","Sparse","3","Easement","28","Napa",0.22239484455144
"1","Central_Coast","30","Sparse","3","Easement","35","San Benito",0.22239484455144
"1","Central_Coast","30","Sparse","3","Easement","40","San Luis Obispo",115.422924322197
"1","Central_Coast","30","Sparse","3","Easement","41","San Mateo",130.323378907144
"1","Central_Coast","30","Sparse","3","Easement","42","Santa Barbara",1.1119742227572
"1","Central_Coast","30","Sparse","3","Easement","43","Santa Clara",22.6842741442469
"1","Central_Coast","30","Sparse","3","Easement","44","Santa Cruz",6.22705564744032
"1","Central_Coast","30","Sparse","3","Easement","48","Solano",6.22705564744032
"1","Central_Coast","30","Sparse","3","Easement","50","Stanislaus",18.4587720977695
"1","Central_Coast","30","Sparse","4","Local_gov","1","Alameda",80.0621440385184
"1","Central_Coast","30","Sparse","4","Local_gov","7","Contra Costa",155.453996341457
"1","Central_Coast","30","Sparse","4","Local_gov","10","Fresno",0.88957937820576
"1","Central_Coast","30","Sparse","4","Local_gov","27","Monterey",90.959491421539
"1","Central_Coast","30","Sparse","4","Local_gov","28","Napa",2.89113297916872
"1","Central_Coast","30","Sparse","4","Local_gov","38","San Francisco",2.66873813461728
"1","Central_Coast","30","Sparse","4","Local_gov","40","San Luis Obispo",39.5862823301563
"1","Central_Coast","30","Sparse","4","Local_gov","41","San Mateo",99.8552852035966
"1","Central_Coast","30","Sparse","4","Local_gov","42","Santa Barbara",5.33747626923456
"1","Central_Coast","30","Sparse","4","Local_gov","43","Santa Clara",101.634443960008
"1","Central_Coast","30","Sparse","4","Local_gov","44","Santa Cruz",7.33902987019752
"1","Central_Coast","30","Sparse","4","Local_gov","48","Solano",6.00466080288888
"1","Central_Coast","30","Sparse","4","Local_gov","50","Stanislaus",0.22239484455144
"1","Central_Coast","30","Sparse","5","NPS","27","Monterey",22.6842741442469
"1","Central_Coast","30","Sparse","5","NPS","35","San Benito",179.472639553012
"1","Central_Coast","30","Sparse","5","NPS","38","San Francisco",6.89424018109464
"1","Central_Coast","30","Sparse","5","NPS","41","San Mateo",23.7962483670041
"1","Central_Coast","30","Sparse","6","Other_fed","1","Alameda",6.22705564744032
"1","Central_Coast","30","Sparse","6","Other_fed","10","Fresno",6.6718453365432
"1","Central_Coast","30","Sparse","6","Other_fed","15","Kern",60.2690028734402
"1","Central_Coast","30","Sparse","6","Other_fed","24","Merced",53.597157536897
"1","Central_Coast","30","Sparse","6","Other_fed","27","Monterey",384.52068622944
"1","Central_Coast","30","Sparse","6","Other_fed","35","San Benito",18.2363772532181
"1","Central_Coast","30","Sparse","6","Other_fed","40","San Luis Obispo",81.6189079503785
"1","Central_Coast","30","Sparse","6","Other_fed","41","San Mateo",3.11352782372016
"1","Central_Coast","30","Sparse","6","Other_fed","42","Santa Barbara",1107.08153617707
"1","Central_Coast","30","Sparse","6","Other_fed","43","Santa Clara",0.22239484455144
"1","Central_Coast","30","Sparse","6","Other_fed","48","Solano",0.88957937820576
"1","Central_Coast","30","Sparse","6","Other_fed","50","Stanislaus",0.22239484455144
"1","Central_Coast","30","Sparse","7","Private","1","Alameda",238.407273359144
"1","Central_Coast","30","Sparse","7","Private","7","Contra Costa",237.740088825489
"1","Central_Coast","30","Sparse","7","Private","10","Fresno",2842.87329790106
"1","Central_Coast","30","Sparse","7","Private","15","Kern",1951.29236609433
"1","Central_Coast","30","Sparse","7","Private","16","Kings",1144.88865975081
"1","Central_Coast","30","Sparse","7","Private","24","Merced",242.187985716518
"1","Central_Coast","30","Sparse","7","Private","27","Monterey",5367.27717840445
"1","Central_Coast","30","Sparse","7","Private","28","Napa",41.8102307756707
"1","Central_Coast","30","Sparse","7","Private","35","San Benito",2113.41820777233
"1","Central_Coast","30","Sparse","7","Private","38","San Francisco",1.55676391186008
"1","Central_Coast","30","Sparse","7","Private","39","San Joaquin",18.2363772532181
"1","Central_Coast","30","Sparse","7","Private","40","San Luis Obispo",5302.33788379543
"1","Central_Coast","30","Sparse","7","Private","41","San Mateo",381.40715840572
"1","Central_Coast","30","Sparse","7","Private","42","Santa Barbara",995.439324212245
"1","Central_Coast","30","Sparse","7","Private","43","Santa Clara",290.670061828732
"1","Central_Coast","30","Sparse","7","Private","44","Santa Cruz",93.6282295561562
"1","Central_Coast","30","Sparse","7","Private","48","Solano",142.777490202024
"1","Central_Coast","30","Sparse","7","Private","50","Stanislaus",105.192761472831
"1","Central_Coast","30","Sparse","7","Private","56","Ventura",1.77915875641152
"1","Central_Coast","30","Sparse","8","State_gov","1","Alameda",28.6889349471358
"1","Central_Coast","30","Sparse","8","State_gov","7","Contra Costa",29.1337246362386
"1","Central_Coast","30","Sparse","8","State_gov","10","Fresno",69.3871915000493
"1","Central_Coast","30","Sparse","8","State_gov","15","Kern",2.00155360096296
"1","Central_Coast","30","Sparse","8","State_gov","24","Merced",20.9051153878354
"1","Central_Coast","30","Sparse","8","State_gov","27","Monterey",48.9268658013168
"1","Central_Coast","30","Sparse","8","State_gov","28","Napa",0.22239484455144
"1","Central_Coast","30","Sparse","8","State_gov","35","San Benito",48.2596812676625
"1","Central_Coast","30","Sparse","8","State_gov","39","San Joaquin",7.7838195593004
"1","Central_Coast","30","Sparse","8","State_gov","40","San Luis Obispo",495.273318816057
"1","Central_Coast","30","Sparse","8","State_gov","41","San Mateo",50.2612348686254
"1","Central_Coast","30","Sparse","8","State_gov","42","Santa Barbara",2.44634329006584
"1","Central_Coast","30","Sparse","8","State_gov","43","Santa Clara",6.22705564744032
"1","Central_Coast","30","Sparse","8","State_gov","44","Santa Cruz",30.2456988589958
"1","Central_Coast","30","Sparse","8","State_gov","48","Solano",0.22239484455144
"1","Central_Coast","30","Sparse","8","State_gov","50","Stanislaus",7.56142471474896
"1","Central_Coast","30","Sparse","9","USFS_nonwild","27","Monterey",149.894125227671
