"reg_code","Region","lt_code","Land_Type","own_code","Ownership","cnty_code","County","area_ha"
"1","Central_Coast","30","Sparse","6","Other_fed","40","San Luis Obispo",33.03
"1","Central_Coast","30","Sparse","6","Other_fed","41","San Mateo",1.26
"1","Central_Coast","30","Sparse","6","Other_fed","42","Santa Barbara",448.02
"1","Central_Coast","30","Sparse","6","Other_fed","43","Santa Clara",0.09
"1","Central_Coast","30","Sparse","6","Other_fed","48","Solano",0.36
"1","Central_Coast","30","Sparse","6","Other_fed","50","Stanislaus",0.09
"1","Central_Coast","30","Sparse","7","Private","1","Alameda",96.48
"1","Central_Coast","30","Sparse","7","Private","7","Contra Costa",96.21
"1","Central_Coast","30","Sparse","7","Private","10","Fresno",1150.47
"1","Central_Coast","30","Sparse","7","Private","15","Kern",789.66
"1","Central_Coast","30","Sparse","7","Private","16","Kings",463.32
"1","Central_Coast","30","Sparse","7","Private","24","Merced",98.01
"1","Central_Coast","30","Sparse","7","Private","27","Monterey",2172.06
"1","Central_Coast","30","Sparse","7","Private","28","Napa",16.92
"1","Central_Coast","30","Sparse","7","Private","35","San Benito",855.27
"1","Central_Coast","30","Sparse","7","Private","38","San Francisco",0.63
"1","Central_Coast","30","Sparse","7","Private","39","San Joaquin",7.38
"1","Central_Coast","30","Sparse","7","Private","40","San Luis Obispo",2145.78
"1","Central_Coast","30","Sparse","7","Private","41","San Mateo",154.35
"1","Central_Coast","30","Sparse","7","Private","42","Santa Barbara",402.84
"1","Central_Coast","30","Sparse","7","Private","43","Santa Clara",117.63
"1","Central_Coast","30","Sparse","7","Private","44","Santa Cruz",37.89
"1","Central_Coast","30","Sparse","7","Private","48","Solano",57.78
"1","Central_Coast","30","Sparse","7","Private","50","Stanislaus",42.57
"1","Central_Coast","30","Sparse","7","Private","56","Ventura",0.72
"1","Central_Coast","30","Sparse","8","State_gov","1","Alameda",11.61
"1","Central_Coast","30","Sparse","8","State_gov","7","Contra Costa",11.79
"1","Central_Coast","30","Sparse","8","State_gov","10","Fresno",28.08
"1","Central_Coast","30","Sparse","8","State_gov","15","Kern",0.81
"1","Central_Coast","30","Sparse","8","State_gov","24","Merced",8.46
